classification,red,blue,green,black,golden,brown,Cyan,purple,white,Pink,Pink,watermelon,watermelon,tangerine,orange,grapefruit,Banana,Cherry,pitaya,pineapple,Sugar cane,Peach,Chestnut,plum,Loquat,Wax gourd,eggplant,Pepper
1,686.49,230.055,0,0.0953,0.1073,17.4,0.7989,0.2777,0.3223,1.7848,0.1596,0.9247,20.2554,0.0015,27.2138,19.8305,29.8241,516,0,16.2354,5.64,134643.5,0.2429,180.8333,109.1538,0.0021,173.3623,0.379
1,604.17,191.1,0.0007,0.009,0.0197,18.6,0.2307,0.0229,0.4888,1.4167,0.1168,0.9488,20.5255,0.1357,25.5299,51.7714,727.051,334.6154,5217.3913,17.7758,4.7308,113875.5,0.2829,201.2402,217.6229,0.146,212.4189,0.1617
1,586.53,205.065,0.0001,0.0201,0.0317,19.3,0.3769,0.0534,0.5723,1.2836,0.0965,0.9576,17.9737,0.0119,26.0419,113.9742,28.0734,150,3333.3333,17.5091,4.5,124270,0.3855,215.2,149.3774,0.0033,199.4176,0.2415
1,683.55,189.63,0.0001,0.0293,0.0498,1,0.6285,0.1093,0.4735,1.5364,0.1416,0.9363,16.6876,0.019,22.2696,71.9585,802.9486,196.1538,1428.5714,17.0316,3.8077,124239.5,0.3161,212,137,0.0007,189.391,0.2036
1,694.575,232.995,0.0004,0.1575,0.182,15.5,0.7731,0.4108,0.3715,1.7344,0.1542,0.9277,17.9269,0.0734,21.299,92.1621,419.954,65.625,1200,15.7101,5.7188,143063,0.3294,193.2679,150.8595,0.0099,223.064,0.1773
1,621.075,187.425,0.0005,0.0085,0.0217,15.5,0.3362,0.0231,0.5623,1.3015,0.1075,0.9531,22.0157,0.0966,24.4754,94.9023,162.9258,242.8571,1071.4286,17.8325,4.7143,126174.5,0.2963,211.0455,214.0429,0.0112,197.0669,0.3166
1,738.675,169.785,0,0.0426,0.0564,17.6,0.8008,0.1703,0.4482,1.5489,0.1255,0.9417,18.4067,0.0041,18.5429,145.8191,379.9677,141.1765,3000,16.4758,3.8824,127005,0.3176,216.2147,216.5698,0.1661,210.6806,0.2343
1,599.76,190.365,0.0001,0.0117,0.0227,22.7,0.3105,0.033,0.5652,1.2886,0.1032,0.9548,17.8936,0.0117,26.2454,17.2371,637.753,340,2857.1429,17.4509,5,116614,0.2581,195.3881,215.0083,0.0528,189.1147,0.2812
1,611.52,202.125,0.0001,0.0761,0.0953,20.7,0.8593,0.2159,0.5511,1.3389,0.1228,0.946,14.724,0.0131,26.956,36.9033,129.3487,456.5217,2400,16.2484,6.6522,117308.5,0.2454,197.6538,161.1327,0.007,187.2454,0.3888
1,660.765,191.835,0.0016,0.1799,0.1971,15.7,0.7033,0.4304,0.4669,1.5051,0.1538,0.9292,12.9329,0.2421,18.6222,139.6977,69.8006,28.5714,1000,15.9039,4,108242.5,0.4,206.1538,163.479,0.0079,187.0853,0.2156
1,685.755,157.29,0.0001,0.0437,0.0678,12.3,0.6846,0.1318,0.4615,1.4571,0.1346,0.9368,12.3003,0.0117,15.1808,69.2764,655.8601,72,3913.0435,16.7969,3.6,90639.5,0.302,192.807,163.3644,0.0245,185.0173,0.3369
1,736.47,225.645,0.0002,0.0168,0.0318,19.4,0.7102,0.0688,0.5072,1.4416,0.1309,0.942,18.9866,0.0326,24.4939,37.5159,57.3508,310.7143,1200,16.9245,4.8214,138616.5,0.2575,200.3211,198.4596,0.0573,197.0327,0.3224
